Time,Map,Kill,RWS,Rating,Won
06-06 22:11,Dust2,9,6.46,0.78,1
06-06 20:30,Dust2,9,8.79,0.67,1
06-06 18:37,Dust2,20,13.43,1.16,1
06-06 16:35,Dust2,16,9.79,1.03,1
06-06 16:06,Dust2,13,9.74,0.78,0
06-06 13:56,Dust2,13,6.9,0.56,0
06-06 12:23,Dust2,10,6.97,0.78,0
06-06 10:40,Dust2,3,2.92,0.3,0
06-05 23:01,Dust2,12,8.35,0.98,1
06-05 16:17,Dust2,3,1.03,0.22,0
06-05 13:38,Dust2,10,3.11,0.68,0
06-05 13:01,Inferno,1,1.07,0.21,0
06-05 12:24,Dust2,12,7.66,0.75,0
06-05 12:24,Dust2,12,7.66,0.75,0
06-05 01:29,Dust2,7,10.12,0.63,1
06-04 23:37,Dust2,15,5.27,0.78,0
06-04 22:44,Dust2,12,6.86,0.89,0
06-04 21:08,Dust2,5,3.43,0.36,0
06-04 20:37,Dust2,5,1.58,0.47,0
06-04 18:28,Dust2,7,10.84,0.62,1
06-04 17:09,Dust2,15,5.48,0.59,0
06-04 15:39,Dust2,14,7.46,0.74,1
06-04 15:07,Dust2,4,0.75,0.31,0
06-04 13:43,Dust2,22,19.11,1.36,1
06-04 11:49,Dust2,12,8.08,0.76,0
06-04 10:43,Inferno,9,6.25,0.53,0
06-04 10:25,Dust2,10,18.24,1.3,1
06-04 00:41,Dust2,5,9.75,0.53,1
06-04 00:10,Dust2,4,1.23,0.36,0
06-03 23:27,Dust2,20,10.34,1.06,0
06-03 22:54,Dust2,6,1.10,0.44,0
06-03 22:17,Dust2,10,5.31,0.60,0
06-03 20:28,Mirage,12,5.07,0.79,0
06-03 20:07,Dust2,3,1.75,0.26,0
06-03 17:36,Ancient,10,12.35,0.71,1
06-03 16:42,Ancient,9,7.78,0.57,1
06-03 15:36,Dust2,5,0.00,0.47,0
06-03 15:11,Dust2,10,15.83,1.17,1
06-03 09:16,Dust2,7,1.40,0.49,0
06-02 19:27,Mirage,11,11.78,0.90,1
06-02 18:45,Mirage,11,5.77,0.60,0
06-02 18:18,Dust2,12,9.75,0.96,1
06-02 17:47,Dust2,11,10.19,0.98,1
06-01 14:38,Dust2,6,4.46,0.56,0
06-01 14:06,Dust2,11,3.98,0.81,0
06-01 13:13,Dust2,12,8.64,0.62,0
05-31 21:38,Mirage,8,8.59,0.52,1
05-31 21:09,Mirage,6,8.73,0.45,0
05-31 20:39,Dust2,15,6.27,0.84,0
05-31 17:16,Dust2,11,11.1,0.71,1
05-31 16:46,Inferno,8,5.57,0.56,0
05-31 15:54,Dust2,10,4.47,0.62,0
05-30 20:37,Dust2,11,9.18,0.91,1
05-30 19:55,Dust2,5,3.06,0.34,0
05-30 19:18,Dust2,12,10.63,0.85,1
05-30 16:12,Dust2,7,5.46,0.51,0
05-30 15:42,Nuke,4,7.84,0.59,1
05-30 14:54,Dust2,13,6.39,0.84,0
05-30 07:00,Dust2,10,10.27,0.81,1
05-29 21:00,Dust2,11,5.25,0.96,1
05-29 20:14,Dust2,13,7.37,0.71,0
05-29 18:20,Dust2,4,2.72,0.30,0
05-29 17:21,Dust2,16,5.46,0.69,0
05-29 16:39,Mirage,10,8.85,0.63,0
05-29 15:13,Dust2,11,5.58,0.63,0
05-29 14:48,Nuke,6,12.06,0.81,1
05-28 20:57,Inferno,8,3.75,0.45,0
05-28 20:27,Dust2,9,4.28,0.42,0
05-28 18:57,Dust2,7,4.67,0.52,0
05-27 22:40,Dust2,6,7.18,0.51,0
05-27 22:03,Mirage,9,3.13,0.59,0
05-27 19:06,Dust2,14,8.45,1.08,1
05-27 17:41,Dust2,9,8.38,0.80,1
05-27 16:43,Dust2,10,8.32,0.90,1
05-26 21:07,Inferno,12,11.65,0.89,1
05-26 20:41,Dust2,7,9.84,0.67,1
05-26 20:09,Dust2,5,1.68,0.35,0
05-25 18:53,Dust2,4,4.71,0.54,1
05-25 18:10,Dust2,8,5.66,0.43,0
05-25 17:48,Dust2,6,4.17,0.88,1
05-25 17:10,Dust2,3,0.20,0.32,0
05-25 15:49,Dust2,10,6.67,0.60,0
05-25 05:57,Nuke,0,4.12,0.52,1
05-25 03:13,Dust2,9,8.76,0.72,0
05-25 02:36,Dust2,12,9.29,0.75,1
05-25 02:13,Dust2,3,2.25,0.36,0
05-25 01:45,Dust2,10,11.71,0.91,1
05-25 01:15,Dust2,4,1.36,0.37,0
05-25 00:43,Dust2,5,3.91,0.56,0
05-24 19:46,Dust2,6,2.23,0.42,0
05-24 18:59,Dust2,5,6.10,0.56,1
05-24 15:35,Dust2,6,4.08,0.30,1
